PostId,TagId
"12868","312"
"12899","312"
"12908","312"
"12965","312"
"12973","312"
"13004","312"
"13030","312"
"13097","312"
"13167","312"
"13187","312"
"13196","312"
"13272","312"
"13323","312"
"13345","312"
"13572","312"
"13721","312"
"13773","312"
"13789","312"
"13856","312"
"13940","312"
"14060","312"
"14087","312"
"14133","312"
"14144","312"
"14166","312"
"14199","312"
"14456","312"
"14538","312"
"14708","312"
"14762","312"
"14788","312"
"14844","312"
"14926","312"
"14928","312"
"15045","312"
"15079","312"
"15118","312"
"15122","312"
"15202","312"
"15313","312"
"15315","312"
"15331","312"
"15371","312"
"15405","312"
"15430","312"
"15458","312"
"15471","312"
"15506","312"
"15527","312"
"15623","312"
"15791","312"
"15839","312"
"15858","312"
"15898","312"
"16100","312"
"16103","312"
"16138","312"
"16176","312"
"16177","312"
"16332","312"
"16374","312"
"16418","312"
"16468","312"
"16588","312"
"16691","312"
"16755","312"
"16761","312"
"16825","312"
"16836","312"
"16862","312"
"16878","312"
"16985","312"
"17031","312"
"17032","312"
"17149","312"
"17155","312"
"17195","312"
"17272","312"
"17394","312"
"17414","312"
"17521","312"
"17548","312"
"17605","312"
"17704","312"
"17826","312"
"17872","312"
"17992","312"
"18030","312"
"18068","312"
"18141","312"
"18172","312"
"18201","312"
"18254","312"
"18267","312"
"18279","312"
"18350","312"
"18356","312"
"18373","312"
"18421","312"
"18427","312"
"18434","312"
"18438","312"
"18475","312"
"18478","312"
"18954","312"
"18955","312"
"19070","312"
"19085","312"
"19102","312"
"19319","312"
"19379","312"
"19382","312"
"19391","312"
"19488","312"
"19710","312"
"19741","312"
"19828","312"
"19847","312"
"19879","312"
"19896","312"
"19950","312"
"20112","312"
"20130","312"
"20177","312"
"20180","312"
"20226","312"
"20456","312"
"20480","312"
"20521","312"
"20620","312"
"20893","312"
"20974","312"
"20991","312"
"21024","312"
"21031","312"
"21101","312"
"21219","312"
"21335","312"
"21386","312"
"21409","312"
"21476","312"
"21516","312"
"21526","312"
"21602","312"
"21639","312"
"21671","312"
"21732","312"
"21905","312"
"21930","312"
"22064","312"
"22147","312"
"22250","312"
"22277","312"
"22317","312"
"22330","312"
"22387","312"
"22401","312"
"22415","312"
"22451","312"
"22461","312"
"22667","312"
"22746","312"
"22784","312"
"22815","312"
"22865","312"
"22875","312"
"22917","312"
"22950","312"
"22974","312"
"23005","312"
"23033","312"
"23040","312"
"23111","312"
"23300","312"
"23498","312"
"23529","312"
"23540","312"
"23716","312"
"23755","312"
"23843","312"
"23901","312"
"23943","312"
"24015","312"
"24041","312"
"24184","312"
"24270","312"
"24322","312"
"24325","312"
"24447","312"
"24486","312"
"24493","312"
"24527","312"
"24599","312"
"24642","312"
"24647","312"
"24675","312"
"24728","312"
"24754","312"
"24791","312"
"24797","312"
"24804","312"
"24813","312"
"24842","312"
"24945","312"
"25230","312"
"25267","312"
"25364","312"
"25419","312"
"25436","312"
"25521","312"
"25591","312"
"25613","312"
"25628","312"
"25647","312"
"25692","312"
"25715","312"
"25811","312"
"25820","312"
"25895","312"
"25972","312"
"25973","312"
"25985","312"
"26065","312"
"26086","312"
"26089","312"
"26235","312"
"26240","312"
"26284","312"
"26291","312"
"26323","312"
"26469","312"
"26479","312"
"26506","312"
"26736","312"
"27832","312"
"27938","312"
"28172","312"
"28288","312"
"28439","312"
"28658","312"
