Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"123","48","2","","2010-08-09 00:00:00",""
"124","54","2","","2010-08-09 00:00:00",""
"125","54","1","","2010-08-09 00:00:00",""
"126","74","2","","2010-08-09 00:00:00",""
"127","74","2","","2010-08-09 00:00:00",""
"129","71","2","","2010-08-09 00:00:00",""
"130","78","2","","2010-08-09 00:00:00",""
"131","81","5","31","2010-08-09 00:00:00",""
"132","74","5","31","2010-08-09 00:00:00",""
"133","83","2","","2010-08-09 00:00:00",""
"134","53","2","","2010-08-09 00:00:00",""
"135","59","2","","2010-08-09 00:00:00",""
"136","71","2","","2010-08-09 00:00:00",""
"137","32","2","","2010-08-09 00:00:00",""
"138","21","2","","2010-08-09 00:00:00",""
"139","84","2","","2010-08-09 00:00:00",""
"140","78","2","","2010-08-09 00:00:00",""
"141","80","2","","2010-08-09 00:00:00",""
"142","74","2","","2010-08-09 00:00:00",""
"143","88","2","","2010-08-09 00:00:00",""
"144","79","2","","2010-08-09 00:00:00",""
"145","75","2","","2010-08-09 00:00:00",""
"146","65","2","","2010-08-09 00:00:00",""
"148","63","2","","2010-08-09 00:00:00",""
"149","35","2","","2010-08-09 00:00:00",""
"150","49","2","","2010-08-09 00:00:00",""
"151","81","5","89","2010-08-09 00:00:00",""
"152","43","5","89","2010-08-09 00:00:00",""
"153","54","2","","2010-08-09 00:00:00",""
"154","32","2","","2010-08-09 00:00:00",""
"155","91","2","","2010-08-09 00:00:00",""
"156","81","2","","2010-08-09 00:00:00",""
"157","77","2","","2010-08-09 00:00:00",""
"158","96","2","","2010-08-09 00:00:00",""
"159","49","2","","2010-08-09 00:00:00",""
"160","44","3","","2010-08-09 00:00:00",""
"163","44","3","","2010-08-09 00:00:00",""
"164","65","2","","2010-08-09 00:00:00",""
"165","97","2","","2010-08-10 00:00:00",""
"166","35","2","","2010-08-10 00:00:00",""
"167","29","2","","2010-08-10 00:00:00",""
"170","9","2","","2010-08-10 00:00:00",""
"171","9","5","96","2010-08-10 00:00:00",""
"172","15","2","","2010-08-10 00:00:00",""
"173","22","2","","2010-08-10 00:00:00",""
"174","12","2","","2010-08-10 00:00:00",""
"175","27","2","","2010-08-10 00:00:00",""
"176","107","2","","2010-08-10 00:00:00",""
"177","50","2","","2010-08-10 00:00:00",""
"178","14","2","","2010-08-10 00:00:00",""
"179","35","2","","2010-08-10 00:00:00",""
"180","81","5","95","2010-08-10 00:00:00",""
"181","77","2","","2010-08-10 00:00:00",""
"182","101","2","","2010-08-10 00:00:00",""
"183","76","2","","2010-08-10 00:00:00",""
"184","106","2","","2010-08-10 00:00:00",""
"185","57","2","","2010-08-10 00:00:00",""
"186","84","2","","2010-08-10 00:00:00",""
"187","71","5","101","2010-08-10 00:00:00",""
"188","119","2","","2010-08-10 00:00:00",""
"189","124","2","","2010-08-10 00:00:00",""
"190","21","2","","2010-08-10 00:00:00",""
"191","32","2","","2010-08-10 00:00:00",""
